Rank_by_Total,Country,Gold,Silver,Bronze,Total
1,United States,39,41,33,113
2,China,38,32,18,88
5,Japan,27,14,17,58
4,Great Britain,22,21,22,65
3,Russia,20,28,23,71
6,Australia,17,7,22,46
9,Netherlands,10,12,14,36
10,France,10,12,11,33
8,Germany,10,11,16,37
7,Italy,10,10,20,40
11,Canada,7,6,11,24
12,Brazil,7,6,8,21
13,New Zealand,7,6,7,20
18,Cuba,7,3,5,15
13,Hungary,6,7,7,20
13,South Korea,6,4,10,20
19,Poland,4,5,5,14
23,Czech Republic,4,4,3,11
25,Kenya,4,4,2,10
29,Norway,4,2,2,8
26,Jamaica,4,1,4,9
17,Spain,3,8,6,17
26,Sweden,3,6,0,9
20,Switzerland,3,4,6,13
23,Denmark,3,4,4,11
29,Croatia,3,3,2,8
33,Iran,3,2,2,7
26,Serbia,3,1,5,9
33,Belgium,3,1,3,7
39,Bulgaria,3,1,2,6
42,Slovenia,3,1,1,5
42,Uzbekistan,3,0,2,5
29,Georgia,2,5,1,8
22,Chinese Taipei,2,4,6,12
20,Turkey,2,2,9,13
47,Greece,2,1,1,4
47,Uganda,2,1,1,4
60,Ecuador,2,1,0,3
47,Ireland,2,0,2,4
47,Israel,2,0,2,4
60,Qatar,2,0,1,3
66,Bahamas,2,0,0,2
66,Kosovo,2,0,0,2
16,Ukraine,1,6,12,19
33,Belarus,1,3,3,7
47,Romania,1,3,0,4
47,Venezuela,1,3,0,4
33,India,1,2,4,7
39,"Hong Kong, China",1,2,3,6
47,Philippines,1,2,1,4
47,Slovakia,1,2,1,4
60,South Africa,1,2,0,3
33,Austria,1,1,5,7
39,Egypt,1,1,4,6
42,Indonesia,1,1,3,5
47,Ethiopia,1,1,2,4
47,Portugal,1,1,2,4
66,Tunisia,1,1,0,2
66,Estonia,1,0,1,2
66,Fiji,1,0,1,2
66,Latvia,1,0,1,2
66,Thailand,1,0,1,2
77,Bermuda,1,0,0,1
77,Morocco,1,0,0,1
77,Puerto Rico,1,0,0,1
42,Colombia,0,4,1,5
33,Azerbaijan,0,3,4,7
42,Dominican Republic,0,3,2,5
47,Armenia,0,2,2,4
60,Kyrgyzstan,0,2,1,3
47,Mongolia,0,1,3,4
60,Argentina,0,1,2,3
60,San Marino,0,1,2,3
66,Jordan,0,1,1,2
66,Malaysia,0,1,1,2
66,Nigeria,0,1,1,2
77,Bahrain,0,1,0,1
77,Saudi Arabia,0,1,0,1
77,Lithuania,0,1,0,1
77,North Macedonia,0,1,0,1
77,Namibia,0,1,0,1
77,Turkmenistan,0,1,0,1
29,Kazakhstan,0,0,8,8
47,Mexico,0,0,4,4
66,Finland,0,0,2,2
77,Botswana,0,0,1,1
77,Burkina Faso,0,0,1,1
77,Ivory Coast,0,0,1,1
77,Ghana,0,0,1,1
77,Grenada,0,0,1,1
77,Kuwait,0,0,1,1
77,Moldova,0,0,1,1
77,Syria,0,0,1,1